mother,stepdaughter,category_for_map,,name,place,,country,address,Latitude,Longitude
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святого Нініана Уіторнського в Карлайлі,Карлайл,http://www.sourozh.org/,Великобританія,Карлайл,54.87464445664866,-2.919213302057266
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святої Ольги до Пітерборо,Пітерборо,http://www.sourozh.org/,Великобританія,"All Saints Road, Peterborough, PE1 2UJ",52.5850055,-0.2401316
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святих Петра і Павла в Портсмуті,Портсмут,http://www.sourozh.org/,Великобританія,"St. Colman Ave, Cosham, Portsmouth, PO6 2JJ",50.8472581,-1.0622468
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святих Петра і Павла в Суїндоні,Суїндон,http://www.sourozh.org/,Великобританія,"The Rainbow Bookshop, Edgeware Road, Swindon  SN1 1QS",51.5607125,-1.7834495
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія преподобного Силуана Афонського в Саутгемптоні,Саутгемптон,http://www.sourozh.org/,Великобританія,"Millbrook Road, Southampton, SO15 0JZ",50.9141973,-1.4493164
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Святого Тенеу в Единбурзі,Единбург,http://www.sourozh.org/,Великобританія,"1b Royal Terrace, EH7 5AB",55.9571787,-3.1813822
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святої Ксенії Петербурзької в Лідсі,Лідс,http://www.sourozh.org/,Великобританія,"Wood Lane, Chapel Allerton, Leeds, United Kingdom LS7 3QF",53.8320266,-1.5410592
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святого Андрія Первозванного в Ромфорді,Ромфорд,http://www.sourozh.org/,Великобританія,"5 Park End Rd, Romford RM1 4AT",51.5809951,0.1823839
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Сестрицтво Святої Єлизавети у Бодіамі,Бодіам,http://www.sourozh.org/,Великобританія,"Rocks Farm, Bodiam, EAST SUSSEX, TN32 5RJ",50.98941440000001,0.5356419
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святих рівноапостольних Костянтина та Олени в Йорку,Йорк,http://www.sourozh.org/,Великобританія,"Bishophill Junior, York, YO1 6EN",53.955724,-1.0870382
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія святителя Миколи Чудотворця в Оксфорді,Оксфорд,http://www.sourozh.org/,Великобританія,"34 Ferry Rd, Marston, Oxford  OX3 0EU",51.7600807,-1.2378129
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Парафія Царських Страстотерпців у Дугласі,Дуглас,http://www.sourozh.org/,Великобританія,"North Quay, Douglas, IM2 1AZ",54.14876686933668,-4.479808265245264
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Сурозька єпархія,Єпархіальний собор Успіння Божої Матері та Усіх Святих,Лондон,http://www.sourozh.org/,Великобританія,"67 Ennismore Gardens, London  SW7 1NH",51.5004941,-0.1690805
Елладська православна церква,,Елладська православна церква,,Храм на честь Сумельської ікони Божої Матері в Афінах,Афіни,https://www.psa.org.gr/,Греція,"El. Venizelou 73, Acharnes 136 74",38.097308,23.728651
Елладська православна церква,,Елладська православна церква,,Храм на честь Серафима Саровського у Салоніках,Салоніки,https://www.seraphim.gr/,Греція,"Iasonidou 2, Thessaloniki 564 29",40.6866014,22.9291639
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Німецька єпархія РПЦЗ,Парафія на честь священномученика Климента Папи Римського,Орхус,https://rocor.de/,Данія,"Åby Kirkevej 1,
8230 Aarhus",56.14562590000001,10.1624436
Руська православна церква (Московський патріархат),РПЦ за кордоном,РПЦ за кордоном,Німецька єпархія РПЦЗ,Храм св. благовірного вел. Князя Олександра Невського,Копенгаген,https://rocor.de/,Данія,"Bredgade 53,
DK-1260 Copenhagen",55.6852416,12.5908269
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),РПЦ в Данії,Парафія святителя Миколая у м. Hobro,Хобро,https://ortodoxy.dk/,Данія,"Onsildgade 1, 9500  Hobro",56.6344393,9.7938587
Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),Руська православна церква (Московський патріархат),РПЦ в Данії,Храм святих Царських страстотерпців Російських на о. Богу,Богу,https://ortodoxy.dk/,Данія,"Prinsehoejsvej 35, Baagoe 5160, Assens",55.3106118,9.8099926
